food_id,name,category,serving_amount,serving_unit,serving_weight_g,kcal,protein_g,fat_g,carb_g,sodium_mg,source_type,source_publisher,source_url,accessed_at,notes
report-5ad76edaba,把子肉,main_dish,100,克,100,529,14.7,53.1,0,518,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E5%8D%A4%E8%8F%9C/%E6%8A%8A%E5%AD%90%E8%82%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-15bcf6a3eb,白灼虾（8只）,main_dish,100,克,100,107,23.4,1,0.7,444,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%83%AB%E8%8F%9C/%E7%99%BD%E7%81%BC%E8%99%BE%EF%BC%888%E5%8F%AA%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-bbba7e597c,百叶包肉,main_dish,100,克,100,189,11.1,15.3,2.2,380,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E7%99%BE%E5%8F%B6%E5%8C%85%E8%82%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-e5a35976b9,薄皮青椒,vegetable,100,克,100,70,1.2,5.7,3.5,98,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E5%8D%A4%E8%8F%9C/%E8%96%84%E7%9A%AE%E9%9D%92%E6%A4%92.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-685a82dce1,爆炒牛肉,main_dish,100,克,100,126,6.8,8.1,6.5,844,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E7%88%86%E7%82%92%E7%89%9B%E8%82%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-dd86d4d2f0,蚕豆炒虾仁,main_dish,100,克,100,154,8.3,8.3,11.5,458,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%9A%95%E8%B1%86%E7%82%92%E8%99%BE%E4%BB%81.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-9fa6b1cc59,糍糕,breakfast,100,克,100,271,5.3,6.9,46.3,391,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E7%B3%8D%E7%B3%95.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-b39a698e74,葱香酱肉包,breakfast,100,克,100,282,8.4,14,30.7,254,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E8%91%B1%E9%A6%99%E9%85%B1%E8%82%89%E5%8C%85.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-f4c3b94482,葱油鸡（白切鸡版）,main_dish,100,克,100,183,15,13.3,1.1,812,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%91%B1%E6%B2%B9%E9%B8%A1%EF%BC%88%E7%99%BD%E5%88%87%E9%B8%A1%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-374cdc5ba0,葱油鸡（小母鸡版）,main_dish,100,克,100,180,20.7,9.9,2,1080,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%91%B1%E6%B2%B9%E9%B8%A1%EF%BC%88%E5%B0%8F%E6%AF%8D%E9%B8%A1%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-7ee5916bb8,脆皮鸡翅,snack,100,克,100,314,13.8,21.8,16.1,730,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%B8%E5%93%81/%E8%84%86%E7%9A%AE%E9%B8%A1%E7%BF%85.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c9d748fe07,豆皮毛白菜,vegetable,100,克,100,113,2.8,10.7,1.7,445,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%B1%86%E7%9A%AE%E6%AF%9B%E7%99%BD%E8%8F%9C.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c9d75d126c,剁椒鱼头（白鲢鱼头版）,main_dish,100,克,100,95,6.4,5.1,5.9,1770,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E5%89%81%E6%A4%92%E9%B1%BC%E5%A4%B4%EF%BC%88%E7%99%BD%E9%B2%A2%E9%B1%BC%E5%A4%B4%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-b53c47e1b0,剁椒鱼头（草鱼头版）,main_dish,100,克,100,100,9.8,4.9,4.2,1580,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E5%89%81%E6%A4%92%E9%B1%BC%E5%A4%B4%EF%BC%88%E8%8D%89%E9%B1%BC%E5%A4%B4%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-49cd6f6f04,番茄菌菇肉丸,main_dish,100,克,100,71,4.1,3.9,4.9,218,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E7%95%AA%E8%8C%84%E8%8F%8C%E8%8F%87%E8%82%89%E4%B8%B8.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-5f7c0c28b0,海带结,vegetable,100,克,100,44,1.5,2,5,677,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E5%8D%A4%E8%8F%9C/%E6%B5%B7%E5%B8%A6%E7%BB%93.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c5b1077a23,黑全麦鸡丁包,breakfast,100,克,100,201,9.2,5,29.3,329,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%BB%91%E5%85%A8%E9%BA%A6%E9%B8%A1%E4%B8%81%E5%8C%85.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-89f4ba9ec7,红豆酒酿,drink,100,克,100,56,1.6,0,12.3,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E7%BA%A2%E8%B1%86%E9%85%92%E9%85%BF.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-19fe669ec8,猴头菇山药玉米糊,drink,100,克,100,64,1.3,0,14.4,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E7%8C%B4%E5%A4%B4%E8%8F%87%E5%B1%B1%E8%8D%AF%E7%8E%89%E7%B1%B3%E7%B3%8A.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-909b112671,黄瓜炒红肠,main_dish,100,克,100,104,6,6.9,4.6,811,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E9%BB%84%E7%93%9C%E7%82%92%E7%BA%A2%E8%82%A0.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-33b98624cb,鸡丝沙汤,breakfast,100,克,100,38,2.4,1.3,4.1,362,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%B8%A1%E4%B8%9D%E6%B2%99%E6%B1%A4.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-fe046fbf16,鸡杂手擀面,staple,100,克,100,95,4,2.4,14,418,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E9%B8%A1%E6%9D%82%E6%89%8B%E6%93%80%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-da381b46de,鸡汁辣糊汤,breakfast,100,克,100,54,2.7,3.2,3.8,358,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%B8%A1%E6%B1%81%E8%BE%A3%E7%B3%8A%E6%B1%A4.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-f84e47673f,姬松茸菌子鸡汤面,staple,100,克,100,67,2.8,0.7,12.2,310,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E5%A7%AC%E6%9D%BE%E8%8C%B8%E8%8F%8C%E5%AD%90%E9%B8%A1%E6%B1%A4%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-e435f5a0a8,经典毛豆烧鸡,main_dish,100,克,100,172,15.6,9.2,6.7,663,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E7%BB%8F%E5%85%B8%E6%AF%9B%E8%B1%86%E7%83%A7%E9%B8%A1.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-71374fda30,酒酿蛋花甜羹,drink,100,克,100,37,0.7,0.7,7,8,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E9%85%92%E9%85%BF%E8%9B%8B%E8%8A%B1%E7%94%9C%E7%BE%B9.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-686d2f4cb9,菌菇鸡汤,soup,100,克,100,20,2.4,0.7,1,237,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%B1%A4/%E8%8F%8C%E8%8F%87%E9%B8%A1%E6%B1%A4.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-85cb085700,老面馒头,breakfast,100,克,100,240,6.2,2.2,48.1,101,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E8%80%81%E9%9D%A2%E9%A6%92%E5%A4%B4.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-7df913a8c7,老面小笼包,breakfast,100,克,100,216,7.8,8.4,27,302,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E8%80%81%E9%9D%A2%E5%B0%8F%E7%AC%BC%E5%8C%85.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-34629057d9,老母鸡汤面,staple,100,克,100,87,4.3,3.6,9.2,310,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E8%80%81%E6%AF%8D%E9%B8%A1%E6%B1%A4%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-893c7bc4c9,卤肉肠,main_dish,100,克,100,303,11.4,23.6,11.7,782,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E5%8D%A4%E8%8F%9C/%E5%8D%A4%E8%82%89%E8%82%A0.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
