food_id,name,category,serving_amount,serving_unit,serving_weight_g,kcal,protein_g,fat_g,carb_g,sodium_mg,source_type,source_publisher,source_url,accessed_at,notes
report-52c3a3226a,铜锅川味水煮肉片,main_dish,100,克,100,78,5.5,3.7,5.6,817,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%85%AE%E9%94%85/%E9%93%9C%E9%94%85%E5%B7%9D%E5%91%B3%E6%B0%B4%E7%85%AE%E8%82%89%E7%89%87.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-4aeb88b36e,铜锅豆花鸡,main_dish,100,克,100,91,7.8,5.3,3.1,682,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%85%AE%E9%94%85/%E9%93%9C%E9%94%85%E8%B1%86%E8%8A%B1%E9%B8%A1.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-baf0cfde31,铜锅番茄虾滑,main_dish,100,克,100,39,2.6,1.2,4.5,269,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%85%AE%E9%94%85/%E9%93%9C%E9%94%85%E7%95%AA%E8%8C%84%E8%99%BE%E6%BB%91.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-e1fdbd60f0,五彩鸡丝拌面,staple,100,克,100,138,6.2,4.9,17.1,398,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E4%BA%94%E5%BD%A9%E9%B8%A1%E4%B8%9D%E6%8B%8C%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-f37b2e0f79,西红柿炒鸡蛋盖饭,staple,100,克,100,149,5,4.8,21.3,334,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E8%A5%BF%E7%BA%A2%E6%9F%BF%E7%82%92%E9%B8%A1%E8%9B%8B%E7%9B%96%E9%A5%AD.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-a16b7caca6,西芹炒虾仁,main_dish,100,克,100,38,2.2,2.1,2.7,380,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%A5%BF%E8%8A%B9%E7%82%92%E8%99%BE%E4%BB%81.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-6a89801a22,咸蛋黄狮子头（卤制版）,main_dish,100,克,100,274,11.2,24.9,2,578,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E5%8D%A4%E8%8F%9C/%E5%92%B8%E8%9B%8B%E9%BB%84%E7%8B%AE%E5%AD%90%E5%A4%B4%EF%BC%88%E5%8D%A4%E5%88%B6%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-eaf73e9bbd,咸蛋黄狮子头（蒸制版）,main_dish,100,克,100,224,11.7,18.9,2.2,525,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E5%92%B8%E8%9B%8B%E9%BB%84%E7%8B%AE%E5%AD%90%E5%A4%B4%EF%BC%88%E8%92%B8%E5%88%B6%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-9376c98c85,香脆春卷,breakfast,100,克,100,309,3.2,17.4,35,450,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%A6%99%E8%84%86%E6%98%A5%E5%8D%B7.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c0646f7594,香脆土豆丝饼,breakfast,100,克,100,304,2.3,20,29,385,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%A6%99%E8%84%86%E5%9C%9F%E8%B1%86%E4%B8%9D%E9%A5%BC.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-dfa07fd5c1,香菇青菜包（菠菜面皮）,breakfast,100,克,100,243,5.1,12.2,28.3,397,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%A6%99%E8%8F%87%E9%9D%92%E8%8F%9C%E5%8C%85%EF%BC%88%E8%8F%A0%E8%8F%9C%E9%9D%A2%E7%9A%AE%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-00874d519e,香菇猪肉烧麦,breakfast,100,克,100,239,5.8,6.2,39.7,500,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E9%A6%99%E8%8F%87%E7%8C%AA%E8%82%89%E7%83%A7%E9%BA%A6.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-8f966469c1,香辣牛腩面,staple,100,克,100,171,4.8,11.7,11.7,358,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E9%A6%99%E8%BE%A3%E7%89%9B%E8%85%A9%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-a6bee3b811,小炒脆笋,vegetable,100,克,100,144,8.2,11.4,2.5,470,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E5%B0%8F%E7%82%92%E8%84%86%E7%AC%8B.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-ea1991945e,小鸡炖蘑菇,main_dish,100,克,100,131,13.2,7.1,3.6,407,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%96%E8%8F%9C/%E5%B0%8F%E9%B8%A1%E7%82%96%E8%98%91%E8%8F%87.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-cf9e0b6d81,阳春面,staple,100,克,100,61,2.3,0.8,10.8,501,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E9%98%B3%E6%98%A5%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-01e0e20fca,银耳莲子炖梨,drink,100,克,100,26,0,0,6.5,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E9%93%B6%E8%80%B3%E8%8E%B2%E5%AD%90%E7%82%96%E6%A2%A8.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-552574b7de,银鱼浦鸡蛋,main_dish,100,克,100,80,6.9,5.1,1.7,330,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%96%E8%8F%9C/%E9%93%B6%E9%B1%BC%E6%B5%A6%E9%B8%A1%E8%9B%8B.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-40ed79248d,鱼香肉丝盖饭（包菜版）,staple,100,克,100,148,4.3,4.1,23.2,232,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E9%B1%BC%E9%A6%99%E8%82%89%E4%B8%9D%E7%9B%96%E9%A5%AD%EF%BC%88%E5%8C%85%E8%8F%9C%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-5ee2c5a42d,鱼香肉丝盖饭（菜苔版）,staple,100,克,100,153,4.2,5.1,22.3,256,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E9%B1%BC%E9%A6%99%E8%82%89%E4%B8%9D%E7%9B%96%E9%A5%AD%EF%BC%88%E8%8F%9C%E8%8B%94%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-bc98b203e3,原味豆浆（冲调版本）,drink,100,克,100,57,2.7,1.3,8.5,18,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E5%8E%9F%E5%91%B3%E8%B1%86%E6%B5%86%EF%BC%88%E5%86%B2%E8%B0%83%E7%89%88%E6%9C%AC%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c54bcb928c,原味豆浆（现磨版本）,drink,100,克,100,14,1.1,0.7,0.9,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E9%A5%AE%E5%93%81/%E5%8E%9F%E5%91%B3%E8%B1%86%E6%B5%86%EF%BC%88%E7%8E%B0%E7%A3%A8%E7%89%88%E6%9C%AC%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-4afd9c8c37,炸鸡排（调理鸡排）,snack,100,克,100,230,15.2,12.4,14.4,676,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%B8%E5%93%81/%E7%82%B8%E9%B8%A1%E6%8E%92%EF%BC%88%E8%B0%83%E7%90%86%E9%B8%A1%E6%8E%92%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-2516c133b6,炸鸡排（普通鸡排）,snack,100,克,100,297,16.1,18.3,17.3,887,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%B8%E5%93%81/%E7%82%B8%E9%B8%A1%E6%8E%92%EF%BC%88%E6%99%AE%E9%80%9A%E9%B8%A1%E6%8E%92%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-ebe5888a47,炸肉肠,snack,100,克,100,226,14.4,11.4,16.5,922,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%B8%E5%93%81/%E7%82%B8%E8%82%89%E8%82%A0.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-fff124ccb2,蒸南瓜,vegetable,100,克,100,65,2.2,0,13.7,0,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%92%B8%E5%8D%97%E7%93%9C.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-ed0a885c4f,Q 弹虾滑馄饨,staple,100,克,100,59,3,2.7,5.7,497,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/Q%20%E5%BC%B9%E8%99%BE%E6%BB%91%E9%A6%84%E9%A5%A8.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
